state,date,admissions
DE,12/2/2021,2
HI,11/26/2021,0
DC,11/25/2021,0
NE,11/25/2021,0
RI,11/24/2021,0
PR,11/23/2021,5
DC,11/20/2021,0
NV,11/19/2021,1
RI,11/18/2021,0
DC,11/15/2021,0
RI,11/14/2021,0
NH,11/13/2021,0
HI,11/11/2021,0
ID,11/10/2021,1
RI,11/8/2021,0
DC,11/5/2021,0
ND,11/5/2021,0
ME,11/1/2021,0
NH,11/1/2021,0
HI,10/30/2021,0
ID,10/25/2021,0
ND,10/25/2021,1
PR,10/23/2021,4
ME,10/20/2021,0
DC,10/19/2021,0
NE,10/19/2021,0
PR,10/18/2021,1
CT,10/14/2021,0
RI,10/13/2021,0
NM,10/10/2021,0
DC,10/9/2021,0
NH,10/8/2021,0
NV,10/5/2021,0
PR,10/4/2021,5
MA,9/29/2021,
NM,9/22/2021,0
NM,9/20/2021,0
NH,9/19/2021,0
MA,9/15/2021,
ND,9/14/2021,0
MS,9/4/2021,2
MA,9/1/2021,
NH,8/31/2021,0
NH,8/30/2021,0
RI,8/30/2021,0
NH,8/29/2021,0
NH,8/28/2021,0
MA,8/25/2021,
NH,8/25/2021,0
RI,8/24/2021,0
NM,8/23/2021,0
RI,8/22/2021,0
CT,8/21/2021,0
WY,8/21/2021,0
MA,8/18/2021,
MT,8/18/2021,0
RI,8/17/2021,0
DE,8/15/2021,0
WY,8/14/2021,0
DC,8/13/2021,0
NM,8/13/2021,0
OR,8/10/2021,0
NV,8/9/2021,0
DE,8/6/2021,0
ME,8/6/2021,0
DC,8/5/2021,0
ME,8/4/2021,0
NH,8/4/2021,1
WV,8/4/2021,0
CT,8/3/2021,0
SD,8/3/2021,0
DE,8/2/2021,0
CO,8/1/2021,0
RI,7/31/2021,0
SC,7/29/2021,2
RI,7/28/2021,0
SD,7/27/2021,0
ND,7/25/2021,0
SC,7/25/2021,2
RI,7/24/2021,0
CT,7/18/2021,0
ND,7/15/2021,1
NV,7/11/2021,0
SD,7/11/2021,0
PR,7/10/2021,5
MA,7/9/2021,
ME,7/1/2021,0
KS,6/26/2021,1
ME,6/25/2021,0
NM,6/17/2021,1
AS,4/30/2023,0
ME,4/30/2023,0
VI,4/29/2023,0
AS,4/27/2023,0
AS,4/26/2023,0
AS,4/25/2023,0
WY,4/24/2023,0
AS,4/23/2023,0
VI,4/23/2023,0
AS,4/20/2023,0
AS,4/19/2023,0
DE,4/17/2023,0
AS,4/16/2023,0
WY,4/15/2023,0
AS,4/14/2023,0
VI,4/14/2023,0
WA,4/14/2023,2
AK,4/10/2023,0
AS,4/8/2023,0
AS,4/7/2023,0
AS,4/5/2023,0
RI,4/5/2023,0
AS,4/4/2023,0
WY,4/4/2023,0
AS,4/3/2023,0
VI,4/2/2023,0
AL,4/1/2023,2
AK,3/31/2023,0
VI,3/31/2023,0
AS,3/30/2023,0
AS,3/28/2023,0
VI,3/28/2023,0
AS,3/27/2023,0
WV,3/27/2023,2
AS,3/26/2023,0
AS,3/25/2023,0
VI,3/24/2023,0
AS,3/22/2023,0
AS,3/20/2023,0
RI,3/20/2023,0
AS,3/19/2023,0
VI,3/19/2023,0
AS,3/17/2023,0
VT,3/16/2023,0
RI,3/15/2023,0
AS,3/14/2023,0
VI,3/13/2023,0
AS,3/12/2023,0
AS,3/11/2023,0
AS,3/9/2023,0
VI,3/9/2023,0
AS,3/8/2023,0
VI,3/8/2023,0
AS,3/6/2023,0
VI,3/5/2023,0
VI,3/4/2023,0
AS,3/3/2023,0
VI,3/2/2023,0
RI,3/1/2023,0
AS,2/28/2023,0
AS,2/26/2023,0
VI,2/25/2023,0
VI,2/24/2023,0
AS,2/23/2023,0
AS,2/21/2023,0
AS,2/20/2023,0
VI,2/20/2023,0
AS,2/18/2023,0
WY,2/17/2023,0
AS,2/15/2023,0
AS,2/13/2023,0
VI,2/13/2023,0
WY,2/13/2023,0
WY,2/12/2023,1
AS,2/10/2023,0
AS,2/7/2023,0
AS,2/5/2023,0
VI,2/5/2023,0
AS,2/4/2023,0
AS,2/2/2023,0
AS,1/30/2023,0
AS,1/28/2023,0
VI,1/28/2023,0
AS,1/27/2023,0
AS,1/25/2023,0
AS,1/22/2023,0
AS,1/20/2023,0
VI,1/20/2023,0
AS,1/19/2023,0
AS,1/17/2023,0
AS,1/14/2023,0
AS,1/11/2023,0
AS,1/9/2023,0
AS,1/6/2023,0
AS,1/3/2023,0
AS,1/1/2023,0
AS,12/29/2022,0
AS,12/27/2022,0
AS,12/24/2022,0
VI,12/21/2022,0
AS,12/19/2022,0
VI,12/17/2022,0
VI,12/15/2022,0
AS,12/14/2022,0
VI,12/14/2022,0
AS,12/13/2022,0
UT,12/13/2022,5
AS,12/12/2022,0
VI,12/12/2022,0
WY,12/12/2022,7
AK,12/9/2022,9
AS,12/9/2022,0
VI,12/9/2022,0
AS,12/8/2022,0
VI,12/7/2022,0
AS,12/6/2022,0
VI,12/6/2022,0
AS,12/5/2022,0
AS,12/4/2022,0
VI,12/4/2022,0
WY,12/4/2022,8
VI,12/3/2022,0
AS,12/1/2022,0
VI,12/1/2022,0
AS,11/30/2022,0
VI,11/30/2022,0
VT,11/30/2022,4
WV,11/29/2022,60
AS,11/28/2022,0
VI,11/28/2022,0
AS,11/27/2022,0
VI,11/26/2022,0
AS,11/25/2022,0
VI,11/25/2022,0
VI,11/23/2022,0
AS,11/22/2022,0
VI,11/22/2022,0
